model,hyperparams,train_acc,train_std,test_acc,test_std
gb,default,100.0,0.0,95.82003546099291,2.0790897251095437
nn,default,97.95445961258295,0.3568605403660585,95.60726950354609,1.4562300251929063
log,default,96.1879350348028,0.31392477053586537,95.39893617021276,1.244581081451274
rf,default,99.60492095181569,0.3122135680111234,95.19060283687945,1.6206985549123818
knn,default,96.88528570657749,0.33094800972766353,94.98670212765957,2.6604940786001525
gnb,default,95.1185452975773,0.2942002793612325,94.97340425531915,2.334794025323665
ab,default,99.09334700264392,0.5037225705252887,94.56560283687945,2.318664956982208
svm,default,100.0,0.0,93.31117021276596,1.541820615562306
dt,default,100.0,0.0,93.29787234042551,3.484211733210389
svm,"{'C': 0.1, 'gamma': 6, 'degree': 3}",77.40587060918361,0.9952021216450153,76.7686170212766,7.19578742762991
svm,"{'C': 100.0, 'gamma': 5, 'degree': 4}",100.0,0.0,90.16843971631207,3.956116400460842
svm,"{'C': 100.0, 'gamma': 2, 'degree': 5}",100.0,0.0,93.91843971631205,2.759841620151693
svm,"{'C': 0.001, 'gamma': 2, 'degree': 6}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 100.0, 'gamma': 7, 'degree': 3}",100.0,0.0,87.23847517730498,4.4175030206244905
svm,"{'C': 10.0, 'gamma': 7, 'degree': 4}",100.0,0.0,87.23847517730498,4.4175030206244905
svm,"{'C': 100.0, 'gamma': 2, 'degree': 5}",100.0,0.0,93.91843971631205,2.759841620151693
svm,"{'C': 1.0, 'gamma': 6, 'degree': 5}",100.0,0.0,87.45124113475178,4.458984120920843
svm,"{'C': 0.001, 'gamma': 2, 'degree': 6}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.1, 'gamma': 3, 'degree': 5}",85.05368801597152,0.7006118771170508,83.68351063829786,7.156085533601953
svm,"{'C': 0.001, 'gamma': 4, 'degree': 6}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 10.0, 'gamma': 5, 'degree': 5}",100.0,0.0,90.16843971631207,3.956116400460842
svm,"{'C': 1.0, 'gamma': 3, 'degree': 5}",100.0,0.0,92.04343971631207,3.4801180909150173
svm,"{'C': 10.0, 'gamma': 3, 'degree': 5}",100.0,0.0,92.67287234042553,2.854076450084763
svm,"{'C': 0.001, 'gamma': 4, 'degree': 4}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 10.0, 'gamma': 1, 'degree': 5}",100.0,0.0,94.76950354609929,1.9236771561560528
svm,"{'C': 10.0, 'gamma': 5, 'degree': 6}",100.0,0.0,90.16843971631207,3.956116400460842
svm,"{'C': 0.001, 'gamma': 4, 'degree': 4}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 1.0, 'gamma': 4, 'degree': 6}",100.0,0.0,90.58510638297872,3.9821743766386506
svm,"{'C': 0.1, 'gamma': 2, 'degree': 5}",89.63270922138888,0.5223818962322627,88.28900709219859,4.85236913973951
svm,"{'C': 0.001, 'gamma': 1, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.001, 'gamma': 4, 'degree': 3}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 1.0, 'gamma': 4, 'degree': 6}",100.0,0.0,90.58510638297872,3.9821743766386506
svm,"{'C': 0.001, 'gamma': 4, 'degree': 6}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.001, 'gamma': 7, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.001, 'gamma': 1, 'degree': 6}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 100.0, 'gamma': 7, 'degree': 4}",100.0,0.0,87.23847517730498,4.4175030206244905
svm,"{'C': 1.0, 'gamma': 3, 'degree': 4}",100.0,0.0,92.04343971631207,3.4801180909150173
svm,"{'C': 0.001, 'gamma': 3, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 1.0, 'gamma': 6, 'degree': 4}",100.0,0.0,87.45124113475178,4.458984120920843
svm,"{'C': 100.0, 'gamma': 5, 'degree': 4}",100.0,0.0,90.16843971631207,3.956116400460842
svm,"{'C': 1.0, 'gamma': 4, 'degree': 3}",100.0,0.0,90.58510638297872,3.9821743766386506
svm,"{'C': 10.0, 'gamma': 5, 'degree': 4}",100.0,0.0,90.16843971631207,3.956116400460842
svm,"{'C': 0.001, 'gamma': 1, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.1, 'gamma': 6, 'degree': 3}",77.40587060918361,0.9952021216450153,76.7686170212766,7.19578742762991
svm,"{'C': 10.0, 'gamma': 2, 'degree': 5}",100.0,0.0,93.91843971631205,2.759841620151693
svm,"{'C': 1.0, 'gamma': 3, 'degree': 6}",100.0,0.0,92.04343971631207,3.4801180909150173
svm,"{'C': 100.0, 'gamma': 7, 'degree': 5}",100.0,0.0,87.23847517730498,4.4175030206244905
svm,"{'C': 0.001, 'gamma': 4, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 0.001, 'gamma': 4, 'degree': 5}",50.673986942211194,0.35541842319614375,43.922872340425535,3.214520547959193
svm,"{'C': 10.0, 'gamma': 3, 'degree': 3}",100.0,0.0,92.67287234042553,2.854076450084763
